site_no,soil_type,texture,year,duration,material_name,type,material_id,material_code,weight_loss_oz,specimen_status,city,state,internal_drainage,resistivity,pH,pH_type,total_acidity,Na+K,Ca,Mg,CO3,HCO3,Cl,SO4,mean_temp,annual_precipitation,moisture,air_pore_space,specific_gravity,volume_shrinkage,table,iron_type,areation,region,approximate_days,exact_days,weight_loss_g,corrosion_rate,C (%),Si (%),Mn (%),S (%),P (%),Cr (%),Ni (%),Cu (%),Mo  (%),Fe (%),C_clr,Si_clr,Mn_clr,S_clr,P_clr,Cr_clr,Ni_clr,Cu_clr,Mo_clr
2,Bell clay,Clay,1922,12.0,Wrought iron,1.5-inch pipe,1,b,7.1,intact,Dallas,TX,P,684.0,7.3,Neutral,3.5,0.28,1.09,0.13,0.0,4.48,0.04,0.18,65.5,36.2,37.6,2.0,1.95,23.0,13,Wrought,Poor,Southern,4383.0,4383.0,2166.58,0.4943,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
2,Bell clay,Clay,1922,17.6,Wrought iron,1.5-inch pipe,1,b,8.4,intact,Dallas,TX,P,684.0,7.3,Neutral,3.5,0.28,1.09,0.13,0.0,4.48,0.04,0.18,65.5,36.2,37.6,2.0,1.95,23.0,13,Wrought,Poor,Southern,6428.4,6428.0,2563.27,0.3987,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
3,Cecil clay loam,Clay,1922,2.0,Wrought iron,1.5-inch pipe,1,b,1.8,intact,Atlanta,GA,G,30000.0,5.2,Strongly Acid,11.5,,,,,,,,61.2,48.3,29.4,18.2,1.6,7.0,13,Wrought,Good,Southern,730.5,730.0,549.27,0.7519,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
3,Cecil clay loam,Clay,1922,4.1,Wrought iron,1.5-inch pipe,1,b,3.2,intact,Atlanta,GA,G,30000.0,5.2,Strongly Acid,11.5,,,,,,,,61.2,48.3,29.4,18.2,1.6,7.0,13,Wrought,Good,Southern,1497.52,1497.0,976.49,0.6521,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
3,Cecil clay loam,Clay,1922,6.0,Wrought iron,1.5-inch pipe,1,b,4.2,intact,Atlanta,GA,G,30000.0,5.2,Strongly Acid,11.5,,,,,,,,61.2,48.3,29.4,18.2,1.6,7.0,13,Wrought,Good,Southern,2191.5,2191.0,1281.64,0.5848,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
3,Cecil clay loam,Clay,1922,8.0,Wrought iron,1.5-inch pipe,1,b,4.4,intact,Atlanta,GA,G,30000.0,5.2,Strongly Acid,11.5,,,,,,,,61.2,48.3,29.4,18.2,1.6,7.0,13,Wrought,Good,Southern,2922.0,2922.0,1342.67,0.4595,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
3,Cecil clay loam,Clay,1922,10.1,Wrought iron,1.5-inch pipe,1,b,4.6,intact,Atlanta,GA,G,30000.0,5.2,Strongly Acid,11.5,,,,,,,,61.2,48.3,29.4,18.2,1.6,7.0,13,Wrought,Good,Southern,3689.03,3689.0,1403.7,0.3805,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
3,Cecil clay loam,Clay,1922,12.1,Wrought iron,1.5-inch pipe,1,b,4.9,intact,Atlanta,GA,G,30000.0,5.2,Strongly Acid,11.5,,,,,,,,61.2,48.3,29.4,18.2,1.6,7.0,13,Wrought,Good,Southern,4419.52,4419.0,1495.24,0.3383,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
4,Chester loam,Silt Loam,1922,1.4,Wrought iron,1.5-inch pipe,1,b,1.2,intact,Jenkintown,PA,F,6670.0,5.6,Medium Acid,7.6,,,,,,,,54.0,40.0,22.2,7.0,1.78,2.2,13,Wrought,Poor,Northern,511.35,511.0,366.18,0.7161,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
4,Chester loam,Silt Loam,1922,4.0,Wrought iron,1.5-inch pipe,1,b,3.5,intact,Jenkintown,PA,F,6670.0,5.6,Medium Acid,7.6,,,,,,,,54.0,40.0,22.2,7.0,1.78,2.2,13,Wrought,Poor,Northern,1461.0,1461.0,1068.03,0.731,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
4,Chester loam,Silt Loam,1922,6.1,Wrought iron,1.5-inch pipe,1,b,4.4,intact,Jenkintown,PA,F,6670.0,5.6,Medium Acid,7.6,,,,,,,,54.0,40.0,22.2,7.0,1.78,2.2,13,Wrought,Poor,Northern,2228.03,2228.0,1342.67,0.6026,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
4,Chester loam,Silt Loam,1922,8.0,Wrought iron,1.5-inch pipe,1,b,5.4,intact,Jenkintown,PA,F,6670.0,5.6,Medium Acid,7.6,,,,,,,,54.0,40.0,22.2,7.0,1.78,2.2,13,Wrought,Poor,Northern,2922.0,2922.0,1647.82,0.5639,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
4,Chester loam,Silt Loam,1922,12.0,Wrought iron,1.5-inch pipe,1,b,6.6,intact,Jenkintown,PA,F,6670.0,5.6,Medium Acid,7.6,,,,,,,,54.0,40.0,22.2,7.0,1.78,2.2,13,Wrought,Poor,Northern,4383.0,4383.0,2014.0,0.4595,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
5,Dublin clay adobe,Clay,1922,1.9,Wrought iron,1.5-inch pipe,1,b,0.9,intact,Oakland,CA,P,1345.0,7.0,Neutral,6.5,0.93,0.48,0.1,0.0,0.69,0.03,0.25,56.4,23.4,28.8,4.9,2.0,22.6,13,Wrought,Poor,Southern,693.98,693.0,274.64,0.3957,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
5,Dublin clay adobe,Clay,1922,4.1,Wrought iron,1.5-inch pipe,1,b,2.2,intact,Oakland,CA,P,1345.0,7.0,Neutral,6.5,0.93,0.48,0.1,0.0,0.69,0.03,0.25,56.4,23.4,28.8,4.9,2.0,22.6,13,Wrought,Poor,Southern,1497.52,1497.0,671.33,0.4483,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
5,Dublin clay adobe,Clay,1922,6.2,Wrought iron,1.5-inch pipe,1,b,5.0,intact,Oakland,CA,P,1345.0,7.0,Neutral,6.5,0.93,0.48,0.1,0.0,0.69,0.03,0.25,56.4,23.4,28.8,4.9,2.0,22.6,13,Wrought,Poor,Southern,2264.55,2264.0,1525.76,0.6738,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
5,Dublin clay adobe,Clay,1922,8.1,Wrought iron,1.5-inch pipe,1,b,6.9,intact,Oakland,CA,P,1345.0,7.0,Neutral,6.5,0.93,0.48,0.1,0.0,0.69,0.03,0.25,56.4,23.4,28.8,4.9,2.0,22.6,13,Wrought,Poor,Southern,2958.53,2958.0,2105.55,0.7117,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
5,Dublin clay adobe,Clay,1922,12.1,Wrought iron,1.5-inch pipe,1,b,7.6,intact,Oakland,CA,P,1345.0,7.0,Neutral,6.5,0.93,0.48,0.1,0.0,0.69,0.03,0.25,56.4,23.4,28.8,4.9,2.0,22.6,13,Wrought,Poor,Southern,4419.52,4419.0,2319.15,0.5248,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
5,Dublin clay adobe,Clay,1922,17.5,Wrought iron,1.5-inch pipe,1,b,9.5,intact,Oakland,CA,P,1345.0,7.0,Neutral,6.5,0.93,0.48,0.1,0.0,0.69,0.03,0.25,56.4,23.4,28.8,4.9,2.0,22.6,13,Wrought,Poor,Southern,6391.88,6391.0,2898.94,0.4535,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
6,Everett gravelly sandy loam,Sandy Loam,1922,1.9,Wrought iron,1.5-inch pipe,1,b,0.2,intact,Seattle,WA,G,45100.0,5.9,Medium Acid,12.8,,,,,,,,51.0,34.0,42.2,40.6,1.5,0.1,13,Wrought,Good,Northern,693.98,693.0,61.03,0.0879,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
6,Everett gravelly sandy loam,Sandy Loam,1922,4.1,Wrought iron,1.5-inch pipe,1,b,0.7,intact,Seattle,WA,G,45100.0,5.9,Medium Acid,12.8,,,,,,,,51.0,34.0,42.2,40.6,1.5,0.1,13,Wrought,Good,Northern,1497.52,1497.0,213.61,0.1426,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
6,Everett gravelly sandy loam,Sandy Loam,1922,6.2,Wrought iron,1.5-inch pipe,1,b,0.6,intact,Seattle,WA,G,45100.0,5.9,Medium Acid,12.8,,,,,,,,51.0,34.0,42.2,40.6,1.5,0.1,13,Wrought,Good,Northern,2264.55,2264.0,183.09,0.0809,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
6,Everett gravelly sandy loam,Sandy Loam,1922,8.1,Wrought iron,1.5-inch pipe,1,b,0.9,intact,Seattle,WA,G,45100.0,5.9,Medium Acid,12.8,,,,,,,,51.0,34.0,42.2,40.6,1.5,0.1,13,Wrought,Good,Northern,2958.53,2958.0,274.64,0.0928,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
6,Everett gravelly sandy loam,Sandy Loam,1922,12.1,Wrought iron,1.5-inch pipe,1,b,1.2,intact,Seattle,WA,G,45100.0,5.9,Medium Acid,12.8,,,,,,,,51.0,34.0,42.2,40.6,1.5,0.1,13,Wrought,Good,Northern,4419.52,4419.0,366.18,0.0829,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
6,Everett gravelly sandy loam,Sandy Loam,1922,17.5,Wrought iron,1.5-inch pipe,1,b,1.6,intact,Seattle,WA,G,45100.0,5.9,Medium Acid,12.8,,,,,,,,51.0,34.0,42.2,40.6,1.5,0.1,13,Wrought,Good,Northern,6391.88,6391.0,488.24,0.0764,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
7,Maddox silt loam,Clay,1922,1.0,Wrought iron,1.5-inch pipe,1,b,0.7,intact,Cincinnati,OH,F,2120.0,4.4,Extremely Acid,29.8,,,,,,,,53.2,38.6,34.3,3.7,2.02,34.5,13,Wrought,Poor,Northern,365.25,365.0,213.61,0.5848,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
7,Maddox silt loam,Clay,1922,3.5,Wrought iron,1.5-inch pipe,1,b,2.5,intact,Cincinnati,OH,F,2120.0,4.4,Extremely Acid,29.8,,,,,,,,53.2,38.6,34.3,3.7,2.02,34.5,13,Wrought,Poor,Northern,1278.38,1278.0,762.88,0.5968,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
7,Maddox silt loam,Clay,1922,7.7,Wrought iron,1.5-inch pipe,1,b,4.3,intact,Cincinnati,OH,F,2120.0,4.4,Extremely Acid,29.8,,,,,,,,53.2,38.6,34.3,3.7,2.02,34.5,13,Wrought,Poor,Northern,2812.43,2812.0,1312.15,0.4666,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
7,Maddox silt loam,Clay,1922,11.5,Wrought iron,1.5-inch pipe,1,b,5.1,intact,Cincinnati,OH,F,2120.0,4.4,Extremely Acid,29.8,,,,,,,,53.2,38.6,34.3,3.7,2.02,34.5,13,Wrought,Poor,Northern,4200.38,4200.0,1556.27,0.3705,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
7,Maddox silt loam,Clay,1922,16.9,Wrought iron,1.5-inch pipe,1,b,5.5,intact,Cincinnati,OH,F,2120.0,4.4,Extremely Acid,29.8,,,,,,,,53.2,38.6,34.3,3.7,2.02,34.5,13,Wrought,Poor,Northern,6172.72,6172.0,1678.33,0.2719,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
8,Fargo clay loam,Clay,1922,1.1,Wrought iron,1.5-inch pipe,1,b,0.7,intact,Fargo,ND,P,350.0,7.6,Mildly Alkaline,A,1.42,1.72,2.55,0.0,0.71,0.01,4.43,39.0,24.0,37.0,8.7,1.56,21.0,13,Wrought,Poor,Northern,401.78,401.0,213.61,0.5317,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
8,Fargo clay loam,Clay,1922,3.8,Wrought iron,1.5-inch pipe,1,b,1.9,intact,Fargo,ND,P,350.0,7.6,Mildly Alkaline,A,1.42,1.72,2.55,0.0,0.71,0.01,4.43,39.0,24.0,37.0,8.7,1.56,21.0,13,Wrought,Poor,Northern,1387.95,1387.0,579.79,0.4177,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
8,Fargo clay loam,Clay,1922,5.8,Wrought iron,1.5-inch pipe,1,b,3.2,intact,Fargo,ND,P,350.0,7.6,Mildly Alkaline,A,1.42,1.72,2.55,0.0,0.71,0.01,4.43,39.0,24.0,37.0,8.7,1.56,21.0,13,Wrought,Poor,Northern,2118.45,2118.0,976.49,0.4609,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
8,Fargo clay loam,Clay,1922,7.7,Wrought iron,1.5-inch pipe,1,b,3.3,intact,Fargo,ND,P,350.0,7.6,Mildly Alkaline,A,1.42,1.72,2.55,0.0,0.71,0.01,4.43,39.0,24.0,37.0,8.7,1.56,21.0,13,Wrought,Poor,Northern,2812.43,2812.0,1007.0,0.3581,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
8,Fargo clay loam,Clay,1922,9.9,Wrought iron,1.5-inch pipe,1,b,5.1,intact,Fargo,ND,P,350.0,7.6,Mildly Alkaline,A,1.42,1.72,2.55,0.0,0.71,0.01,4.43,39.0,24.0,37.0,8.7,1.56,21.0,13,Wrought,Poor,Northern,3615.97,3615.0,1556.27,0.4304,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
8,Fargo clay loam,Clay,1922,11.8,Wrought iron,1.5-inch pipe,1,b,6.9,intact,Fargo,ND,P,350.0,7.6,Mildly Alkaline,A,1.42,1.72,2.55,0.0,0.71,0.01,4.43,39.0,24.0,37.0,8.7,1.56,21.0,13,Wrought,Poor,Northern,4309.95,4309.0,2105.55,0.4885,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
9,Genesee silt loam,Silt Loam,1922,1.0,Wrought iron,1.5-inch pipe,1,b,1.2,intact,Sidney,OH,P,2820.0,6.8,Neutral,7.2,,,,,,,,51.2,39.0,24.8,15.8,1.74,5.6,13,Wrought,Fair,Northern,365.25,365.0,366.18,1.0025,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
9,Genesee silt loam,Silt Loam,1922,3.5,Wrought iron,1.5-inch pipe,1,b,2.3,intact,Sidney,OH,P,2820.0,6.8,Neutral,7.2,,,,,,,,51.2,39.0,24.8,15.8,1.74,5.6,13,Wrought,Fair,Northern,1278.38,1278.0,701.85,0.549,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
9,Genesee silt loam,Silt Loam,1922,5.5,Wrought iron,1.5-inch pipe,1,b,2.3,intact,Sidney,OH,P,2820.0,6.8,Neutral,7.2,,,,,,,,51.2,39.0,24.8,15.8,1.74,5.6,13,Wrought,Fair,Northern,2008.88,2008.0,701.85,0.3494,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
9,Genesee silt loam,Silt Loam,1922,7.7,Wrought iron,1.5-inch pipe,1,b,3.4,intact,Sidney,OH,P,2820.0,6.8,Neutral,7.2,,,,,,,,51.2,39.0,24.8,15.8,1.74,5.6,13,Wrought,Fair,Northern,2812.43,2812.0,1037.52,0.3689,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
9,Genesee silt loam,Silt Loam,1922,11.5,Wrought iron,1.5-inch pipe,1,b,4.8,intact,Sidney,OH,P,2820.0,6.8,Neutral,7.2,,,,,,,,51.2,39.0,24.8,15.8,1.74,5.6,13,Wrought,Fair,Northern,4200.38,4200.0,1464.73,0.3487,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
9,Genesee silt loam,Silt Loam,1922,16.9,Wrought iron,1.5-inch pipe,1,b,6.0,intact,Sidney,OH,P,2820.0,6.8,Neutral,7.2,,,,,,,,51.2,39.0,24.8,15.8,1.74,5.6,13,Wrought,Fair,Northern,6172.72,6172.0,1830.91,0.2966,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
10,Glouster sandy loam,Sandy Loam,1922,1.3,Wrought iron,1.5-inch pipe,1,b,1.2,intact,Middleboro,MA,F,7460.0,6.6,Neutral,3.6,,,,,,,,50.0,41.0,13.0,27.8,4.58,0.2,13,Wrought,Fair,Northern,474.82,474.0,366.18,0.7712,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
